Johnson,Rich Hill,Harvard,Fitzgerald-Spielberger
2.28,2.4,51.19288314,65
2.2,2.4,50.70764254,64.6
2.12,2.4,50.22240194,64
2.04,2.4,49.73716134,63.6
1.96,2.4,49.25192074,63
1.88,2.4,48.76668015,62.4
1.8,2.4,48.28143955,62
1.72,2.4,47.79619895,61.4
1.64,2.4,47.31095835,61
1.56,1.8,46.82571775,60.4
1.48,1.8,46.34047715,60
1.4,1.8,45.85523655,59.6
1.32,1.8,45.36999596,59
1.24,1.8,44.88475536,58.6
1.16,1.8,44.39951476,58
1.08,1.8,44.03558431,57.6
1,1.8,43.55034371,57
0.92,1.8,43.06510311,56.6
0.84,1.8,42.57986252,56.2
0.76,1.8,42.09462192,55.6
0.68,1.8,41.60938132,55.2
0.6,1.8,41.12414072,54.8
0.46,1.8,40.63890012,54.2
0.4,1.8,40.15365952,53.8
0.34,1.8,39.66841892,53.4
0.28,1.8,39.18317833,52.8
0.22,1.8,38.69793773,52.4
0.2,1.2,38.21269713,52
0.2,1.2,37.72745653,51.6
